product_name,brands,categories,ingredients_text_en,nutriscore_grade,nova_group,ecoscore_grade,quantity,serving_size,nutriments,nutrition_grades,countries_tags
Vegan Spread,Flora,"Plant-based foods and beverages, Plant-based foods, Fats, Spreads, Plant-based spreads, Spreadable fats, Vegetable fats, Margarines","Plant oils (rapeseed, sunflower), water, coconut fat, salt (1.3%), plant based emulsifier (lecithin), faba bean preparation, natural flavourings, vitamin A.",d,4.0,b,450 g,,"{'carbohydrates': 0.5, 'carbohydrates_100g': 0.5, 'carbohydrates_unit': 'g', 'carbohydrates_value': 0.5, 'energy': 2599, 'energy-kcal': 632, 'energy-kcal_100g': 632, 'energy-kcal_unit': 'kcal', 'energy-kcal_value': 632, 'energy-kcal_value_computed': 634, 'energy-kj': 2599, 'energy-kj_100g': 2599, 'energy-kj_unit': 'kJ', 'energy-kj_value': 2599, 'energy-kj_value_computed': 2607, 'energy_100g': 2599, 'energy_unit': 'kJ', 'energy_value': 2599, 'fat': 70, 'fat_100g': 70, 'fat_unit': 'g', 'fat_value': 70, 'fruits-vegetables-legumes-estimate-from-ingredients_100g': 0, 'fruits-vegetables-legumes-estimate-from-ingredients_serving': 0, 'fruits-vegetables-nuts-estimate-from-ingredients_100g': 30.275, 'fruits-vegetables-nuts-estimate-from-ingredients_serving': 30.275, 'monounsaturated-fat': 30, 'monounsaturated-fat_100g': 30, 'monounsaturated-fat_unit': 'g', 'monounsaturated-fat_value': 30, 'nova-group': 4, 'nova-group_100g': 4, 'nova-group_serving': 4, 'nutrition-score-fr': 16, 'nutrition-score-fr_100g': 16, 'polyunsaturated-fat': 18, 'polyunsaturated-fat_100g': 18, 'polyunsaturated-fat_unit': 'g', 'polyunsaturated-fat_value': 18, 'proteins': 0.5, 'proteins_100g': 0.5, 'proteins_unit': 'g', 'proteins_value': 0.5, 'salt': 1.2775, 'salt_100g': 1.2775, 'salt_unit': 'g', 'salt_value': 1.2775, 'saturated-fat': 20, 'saturated-fat_100g': 20, 'saturated-fat_unit': 'g', 'saturated-fat_value': 20, 'sodium': 0.511, 'sodium_100g': 0.511, 'sodium_unit': 'g', 'sodium_value': 0.511, 'sugars': 0.5, 'sugars_100g': 0.5, 'sugars_unit': 'g', 'sugars_value': 0.5, 'vitamin-a': 0.00012, 'vitamin-a_100g': 0.00012, 'vitamin-a_unit': 'g', 'vitamin-a_value': 0.00012}",d,"en:ireland, en:united-kingdom"
Pâte à tartiner noisette du Lot et Garonne cacao,Lucien Georgelin,"Breakfasts, Spreads, Sweet spreads, fr:Pâtes à tartiner, en:cocoa-and-hazelnuts-spreads","sugar, hazel-nuts of the lot and garonne 16 %, milk powder , coconut oil, cocoa powder 7 %, rapeseed oil, emulsifier: sunflower lecithin, aroma vanilla,",e,4.0,c,400 g,15g,"{'carbohydrates': 56, 'carbohydrates_100g': 56, 'carbohydrates_serving': 8.4, 'carbohydrates_unit': 'g', 'carbohydrates_value': 56, 'cocoa': 7, 'cocoa_100g': 7, 'cocoa_label': '0', 'cocoa_serving': 7, 'cocoa_unit': 'g', 'cocoa_value': 7, 'energy': 2307, 'energy-kcal': 552, 'energy-kcal_100g': 552, 'energy-kcal_serving': 82.8, 'energy-kcal_unit': 'kcal', 'energy-kcal_value': 552, 'energy-kcal_value_computed': 555.4, 'energy-kj': 2307, 'energy-kj_100g': 2307, 'energy-kj_serving': 346, 'energy-kj_unit': 'kJ', 'energy-kj_value': 2307, 'energy-kj_value_computed': 2319.2, 'energy_100g': 2307, 'energy_serving': 346, 'energy_unit': 'kJ', 'energy_value': 2307, 'fat': 33, 'fat_100g': 33, 'fat_serving': 4.95, 'fat_unit': 'g', 'fat_value': 33, 'fiber': 0, 'fiber_100g': 0, 'fiber_serving': 0, 'fiber_unit': 'g', 'fiber_value': 0, 'fruits-vegetables-legumes-estimate-from-ingredients_100g': 0, 'fruits-vegetables-legumes-estimate-from-ingredients_serving': 0, 'fruits-vegetables-nuts-estimate': 16, 'fruits-vegetables-nuts-estimate-from-ingredients_100g': 41.5, 'fruits-vegetables-nuts-estimate-from-ingredients_serving': 41.5, 'fruits-vegetables-nuts-estimate_100g': 16, 'fruits-vegetables-nuts-estimate_label': '0', 'fruits-vegetables-nuts-estimate_serving': 16, 'fruits-vegetables-nuts-estimate_unit': 'g', 'fruits-vegetables-nuts-estimate_value': 16, 'nova-group': 4, 'nova-group_100g': 4, 'nova-group_serving': 4, 'nutrition-score-fr': 23, 'nutrition-score-fr_100g': 23, 'proteins': 8.6, 'proteins_100g': 8.6, 'proteins_serving': 1.29, 'proteins_unit': 'g', 'proteins_value': 8.6, 'salt': 0.13, 'salt_100g': 0.13, 'salt_serving': 0.0195, 'salt_unit': 'g', 'salt_value': 0.13, 'saturated-fat': 3, 'saturated-fat_100g': 3, 'saturated-fat_serving': 0.45, 'saturated-fat_unit': 'g', 'saturated-fat_value': 3, 'sodium': 0.052, 'sodium_100g': 0.052, 'sodium_serving': 0.0078, 'sodium_unit': 'g', 'sodium_value': 0.052, 'sugars': 55, 'sugars_100g': 55, 'sugars_serving': 8.25, 'sugars_unit': 'g', 'sugars_value': 55}",e,"en:france, en:reunion"
Majoneesi,UNILEVER NORGE AS,"Mausteet,Kastikkeet,Salaattikastikkeet,Majoneesit","Rapsolje 78%, vann, EGG OG EGGEPLOMME 7,9%, eddik, salt, sukker,  sitronjuicekonsentrat, antioxidant (E 385), aroma, paprikaekstrakt",e,4.0,c,400 g,50 g,"{'carbohydrates': 0.7, 'carbohydrates_100g': 1.4, 'carbohydrates_serving': 0.7, 'carbohydrates_unit': 'g', 'carbohydrates_value': 0.7, 'carbon-footprint-from-known-ingredients_100g': 202.8, 'carbon-footprint-from-known-ingredients_product': 811, 'carbon-footprint-from-known-ingredients_serving': 101, 'energy': 1506, 'energy-kcal': 360, 'energy-kcal_100g': 720, 'energy-kcal_serving': 360, 'energy-kcal_unit': 'kcal', 'energy-kcal_value': 360, 'energy-kcal_value_computed': 360.5, 'energy_100g': 3010, 'energy_serving': 1506, 'energy_unit': 'kcal', 'energy_value': 360, 'fat': 39.5, 'fat_100g': 79, 'fat_serving': 39.5, 'fat_unit': 'g', 'fat_value': 39.5, 'fruits-vegetables-legumes-estimate-from-ingredients_100g': 0.054910714285711, 'fruits-vegetables-legumes-estimate-from-ingredients_serving': 0.054910714285711, 'fruits-vegetables-nuts-estimate-from-ingredients_100g': 78.0549107142857, 'fruits-vegetables-nuts-estimate-from-ingredients_serving': 78.0549107142857, 'nova-group': 4, 'nova-group_100g': 4, 'nova-group_serving': 4, 'nutrition-score-fr': 19, 'nutrition-score-fr_100g': 19, 'proteins': 0.55, 'proteins_100g': 1.1, 'proteins_serving': 0.55, 'proteins_unit': 'g', 'proteins_value': 0.55, 'salt': 0.59, 'salt_100g': 1.18, 'salt_serving': 0.59, 'salt_unit': 'g', 'salt_value': 0.59, 'saturated-fat': 3.05, 'saturated-fat_100g': 6.1, 'saturated-fat_serving': 3.05, 'saturated-fat_unit': 'g', 'saturated-fat_value': 3.05, 'sodium': 0.236, 'sodium_100g': 0.472, 'sodium_serving': 0.236, 'sodium_unit': 'g', 'sodium_value': 0.236, 'sugars': 0.65, 'sugars_100g': 1.3, 'sugars_serving': 0.65, 'sugars_unit': 'g', 'sugars_value': 0.65}",e,"en:aland-islands, en:australia, en:denmark, en:finland, en:france, en:ireland, en:norway, en:sweden, en:united-kingdom"
Thé - Biscuits,Lu,"Snacks, Snacks sucrés, Biscuits et gâteaux, Biscuits, Gâteaux secs",,e,4.0,c,350 g ℮,1 biscuit (7.3 g),"{'carbohydrates': 5.329, 'carbohydrates_100g': 73, 'carbohydrates_serving': 5.329, 'carbohydrates_unit': 'g', 'carbohydrates_value': 5.329, 'carbon-footprint-from-known-ingredients_100g': 80.4, 'carbon-footprint-from-known-ingredients_product': 281, 'carbon-footprint-from-known-ingredients_serving': 5.87, 'energy': 138, 'energy-kcal': 33.069, 'energy-kcal_100g': 453, 'energy-kcal_serving': 33.069, 'energy-kcal_unit': 'kcal', 'energy-kcal_value': 33.069, 'energy-kcal_value_computed': 33.2, 'energy_100g': 1890, 'energy_serving': 138, 'energy_unit': 'kcal', 'energy_value': 33.069, 'fat': 1.022, 'fat_100g': 14, 'fat_serving': 1.022, 'fat_unit': 'g', 'fat_value': 1.022, 'fiber': 0.248, 'fiber_100g': 3.4, 'fiber_serving': 0.248, 'fiber_unit': 'g', 'fiber_value': 0.248, 'fruits-vegetables-legumes-estimate-from-ingredients_100g': 0, 'fruits-vegetables-legumes-estimate-from-ingredients_serving': 0, 'fruits-vegetables-nuts-estimate-from-ingredients_100g': 0, 'fruits-vegetables-nuts-estimate-from-ingredients_serving': 0, 'nova-group': 4, 'nova-group_100g': 4, 'nova-group_serving': 4, 'nutrition-score-fr': 20, 'nutrition-score-fr_100g': 20, 'proteins': 0.5475, 'proteins_100g': 7.5, 'proteins_serving': 0.5475, 'proteins_unit': 'g', 'proteins_value': 0.5475, 'salt': 0.0511, 'salt_100g': 0.7, 'salt_serving': 0.0511, 'salt_unit': 'g', 'salt_value': 0.0511, 'saturated-fat': 0.489, 'saturated-fat_100g': 6.7, 'saturated-fat_serving': 0.489, 'saturated-fat_unit': 'g', 'saturated-fat_value': 0.489, 'sodium': 0.02044, 'sodium_100g': 0.28, 'sodium_serving': 0.02044, 'sodium_unit': 'g', 'sodium_value': 0.02044, 'sugars': 1.898, 'sugars_100g': 26, 'sugars_serving': 1.898, 'sugars_unit': 'g', 'sugars_value': 1.898}",e,"en:france, en:new-caledonia, en:reunion, en:switzerland"
Petites Madeleines,St Michel,"snacks, zoete-snacks, koekjes-en-cakes, cakes, madeleines, fr:madeleines-natures","wheat flour (32%), rapeseed oil, non-hydrogenated, sugar, eggs from hens raised outdoors (16%), stabilizer: glycerol, glucose-fructose syrup, fresh milk semi-skimmed pasteurized (5%), baking powders: diphosphates and carbonates of sodium (wheat), salt, flavour, contains soy, traces of any nuts,",d,4.0,b,500 g,17 g,"{'carbohydrates': 54, 'carbohydrates_100g': 54, 'carbohydrates_serving': 9.18, 'carbohydrates_unit': 'g', 'carbohydrates_value': 54, 'carbon-footprint-from-known-ingredients_100g': 86, 'carbon-footprint-from-known-ingredients_product': 430, 'carbon-footprint-from-known-ingredients_serving': 14.6, 'energy': 1753, 'energy-kcal': 419, 'energy-kcal_100g': 419, 'energy-kcal_serving': 71.2, 'energy-kcal_unit': 'kcal', 'energy-kcal_value': 419, 'energy-kcal_value_computed': 430, 'energy-kj': 1753, 'energy-kj_100g': 1753, 'energy-kj_serving': 298, 'energy-kj_unit': 'kJ', 'energy-kj_value': 1753, 'energy-kj_value_computed': 1800.5, 'energy_100g': 1753, 'energy_serving': 298, 'energy_unit': 'kJ', 'energy_value': 1753, 'fat': 21, 'fat_100g': 21, 'fat_serving': 3.57, 'fat_unit': 'g', 'fat_value': 21, 'fiber': 1.5, 'fiber_100g': 1.5, 'fiber_serving': 0.255, 'fiber_unit': 'g', 'fiber_value': 1.5, 'fruits-vegetables-legumes-estimate-from-ingredients_100g': 0, 'fruits-vegetables-legumes-estimate-from-ingredients_serving': 0, 'fruits-vegetables-nuts-estimate-from-ingredients_100g': 18.5, 'fruits-vegetables-nuts-estimate-from-ingredients_serving': 18.5, 'nova-group': 4, 'nova-group_100g': 4, 'nova-group_serving': 4, 'nutrition-score-fr': 15, 'nutrition-score-fr_100g': 15, 'proteins': 5.5, 'proteins_100g': 5.5, 'proteins_serving': 0.935, 'proteins_unit': 'g', 'proteins_value': 5.5, 'salt': 0.71, 'salt_100g': 0.71, 'salt_serving': 0.121, 'salt_unit': 'g', 'salt_value': 0.71, 'saturated-fat': 2, 'saturated-fat_100g': 2, 'saturated-fat_serving': 0.34, 'saturated-fat_unit': 'g', 'saturated-fat_value': 2, 'sodium': 0.284, 'sodium_100g': 0.284, 'sodium_serving': 0.0483, 'sodium_unit': 'g', 'sodium_value': 0.284, 'sugars': 23, 'sugars_100g': 23, 'sugars_serving': 3.91, 'sugars_unit': 'g', 'sugars_value': 23}",d,"en:france, en:martinique, en:la-reunion, en:suisse"
Goûter pépites de chocolat,Gerblé,"Snacks, Snacks sucrés, Biscuits et gâteaux, Biscuits, Biscuits au chocolat, Biscuit aux céréales et pépites de chocolat, Goûter pépites de chocolat",,d,4.0,c,"3 sachets de 4 biscuits, 250g",20.8g,"{'calcium': 0.26, 'calcium_100g': 0.26, 'calcium_label': '0', 'calcium_serving': 0.0541, 'calcium_unit': 'g', 'calcium_value': 0.26, 'carbohydrates': 67, 'carbohydrates_100g': 67, 'carbohydrates_serving': 13.9, 'carbohydrates_unit': 'g', 'carbohydrates_value': 67, 'carbon-footprint-from-known-ingredients_100g': 130.96, 'carbon-footprint-from-known-ingredients_product': 327, 'carbon-footprint-from-known-ingredients_serving': 27.2, 'energy': 1896, 'energy-kcal': 459, 'energy-kcal_100g': 459, 'energy-kcal_serving': 95.5, 'energy-kcal_unit': 'kcal', 'energy-kcal_value': 459, 'energy-kcal_value_computed': 451.4, 'energy-kj': 1896, 'energy-kj_100g': 1896, 'energy-kj_serving': 394, 'energy-kj_unit': 'kJ', 'energy-kj_value': 1896, 'energy-kj_value_computed': 1895.9, 'energy_100g': 1896, 'energy_serving': 394, 'energy_unit': 'kJ', 'energy_value': 1896, 'fat': 16, 'fat_100g': 16, 'fat_serving': 3.33, 'fat_unit': 'g', 'fat_value': 16, 'fiber': 5.1, 'fiber_100g': 5.1, 'fiber_serving': 1.06, 'fiber_unit': 'g', 'fiber_value': 5.1, 'fruits-vegetables-legumes-estimate-from-ingredients_100g': 0, 'fruits-vegetables-legumes-estimate-from-ingredients_serving': 0, 'fruits-vegetables-nuts-estimate-from-ingredients_100g': 4.175, 'fruits-vegetables-nuts-estimate-from-ingredients_serving': 4.175, 'magnesium': 0.175, 'magnesium_100g': 0.175, 'magnesium_label': '0', 'magnesium_serving': 0.0364, 'magnesium_unit': 'g', 'magnesium_value': 0.175, 'nova-group': 4, 'nova-group_100g': 4, 'nova-group_serving': 4, 'nutrition-score-fr': 12, 'nutrition-score-fr_100g': 12, 'pantothenic-acid': 0.0013, 'pantothenic-acid_100g': 0.0013, 'pantothenic-acid_label': '0', 'pantothenic-acid_serving': 0.00027, 'pantothenic-acid_unit': 'g', 'pantothenic-acid_value': 0.0013, 'proteins': 7.3, 'proteins_100g': 7.3, 'proteins_serving': 1.52, 'proteins_unit': 'g', 'proteins_value': 7.3, 'salt': 0.27, 'salt_100g': 0.27, 'salt_serving': 0.0562, 'salt_unit': 'g', 'salt_value': 0.27, 'saturated-fat': 3.7, 'saturated-fat_100g': 3.7, 'saturated-fat_serving': 0.77, 'saturated-fat_unit': 'g', 'saturated-fat_value': 3.7, 'sodium': 0.108, 'sodium_100g': 0.108, 'sodium_serving': 0.0225, 'sodium_unit': 'g', 'sodium_value': 0.108, 'sugars': 20, 'sugars_100g': 20, 'sugars_serving': 4.16, 'sugars_unit': 'g', 'sugars_value': 20, 'vitamin-b1': 0.00023, 'vitamin-b1_100g': 0.00023, 'vitamin-b1_label': '0', 'vitamin-b1_serving': 4.78e-05, 'vitamin-b1_unit': 'g', 'vitamin-b1_value': 0.00023, 'vitamin-b9': 5.99e-05, 'vitamin-b9_100g': 5.99e-05, 'vitamin-b9_label': '0', 'vitamin-b9_serving': 1.25e-05, 'vitamin-b9_unit': 'g', 'vitamin-b9_value': 5.99e-05, 'vitamin-e': 0.0053, 'vitamin-e_100g': 0.0053, 'vitamin-e_label': '0', 'vitamin-e_serving': 0.0011, 'vitamin-e_unit': 'g', 'vitamin-e_value': 0.0053, 'vitamin-pp': 0.0023, 'vitamin-pp_100g': 0.0023, 'vitamin-pp_label': '0', 'vitamin-pp_serving': 0.000478, 'vitamin-pp_unit': 'g', 'vitamin-pp_value': 0.0023}",d,"en:belgium, en:france, en:french-polynesia, en:reunion, en:switzerland"
Cream of tomato soup imp,Heinz,Soups,"Tomatoes (89%), Water, Modified Cornflour Sugar, Rapeseed Oil, Dried Skimmed Milk, Salt, Cream (Milk), Milk Proteins, Acidity Regulator - Citric Acid, Spice Extracts, Herb Extract",a,4.0,unknown,400g,1 serving (200 g),"{'carbohydrates': 13.6, 'carbohydrates_100g': 6.8, 'carbohydrates_serving': 13.6, 'carbohydrates_unit': 'g', 'carbohydrates_value': 13.6, 'energy': 427, 'energy-kcal': 102, 'energy-kcal_100g': 51, 'energy-kcal_serving': 102, 'energy-kcal_unit': 'kcal', 'energy-kcal_value': 102, 'energy-kcal_value_computed': 102.3, 'energy_100g': 214, 'energy_serving': 427, 'energy_unit': 'kcal', 'energy_value': 102, 'fat': 4.3, 'fat_100g': 2.15, 'fat_serving': 4.3, 'fat_unit': 'g', 'fat_value': 4.3, 'fiber': 1.2, 'fiber_100g': 0.6, 'fiber_serving': 1.2, 'fiber_unit': 'g', 'fiber_value': 1.2, 'fruits-vegetables-legumes-estimate-from-ingredients_100g': 89.01015625, 'fruits-vegetables-legumes-estimate-from-ingredients_serving': 89.01015625, 'fruits-vegetables-nuts-estimate-from-ingredients_100g': 90.26015625, 'fruits-vegetables-nuts-estimate-from-ingredients_serving': 90.26015625, 'nova-group': 4, 'nova-group_100g': 4, 'nova-group_serving': 4, 'nutrition-score-fr': -2, 'nutrition-score-fr_100g': -2, 'proteins': 1.7, 'proteins_100g': 0.85, 'proteins_serving': 1.7, 'proteins_unit': 'g', 'proteins_value': 1.7, 'salt': 1.2, 'salt_100g': 0.6, 'salt_serving': 1.2, 'salt_unit': 'g', 'salt_value': 1.2, 'saturated-fat': 0.4, 'saturated-fat_100g': 0.2, 'saturated-fat_serving': 0.4, 'saturated-fat_unit': 'g', 'saturated-fat_value': 0.4, 'sodium': 0.48, 'sodium_100g': 0.24, 'sodium_serving': 0.48, 'sodium_unit': 'g', 'sodium_value': 0.48, 'sugars': 10.2, 'sugars_100g': 5.1, 'sugars_serving': 10.2, 'sugars_unit': 'g', 'sugars_value': 10.2}",a,"en:denmark, en:germany, en:switzerland, en:united-kingdom, en:scotland"
Ain Saiss,Eau Minérale,"Boissons et préparations de boissons,Boissons,Eaux,Eaux aromatisées",,c,4.0,not-applicable,1.5L,,"{'carbohydrates': 4.9, 'carbohydrates_100g': 4.9, 'carbohydrates_unit': 'g', 'carbohydrates_value': 4.9, 'carbon-footprint-from-known-ingredients_100g': 6.37, 'carbon-footprint-from-known-ingredients_product': 95.6, 'energy': 84, 'energy-kcal': 20, 'energy-kcal_100g': 20, 'energy-kcal_unit': 'kcal', 'energy-kcal_value': 20, 'energy-kcal_value_computed': 19.6, 'energy_100g': 84, 'energy_unit': 'kcal', 'energy_value': 20, 'fat': 0, 'fat_100g': 0, 'fat_unit': 'g', 'fat_value': 0, 'fruits-vegetables-legumes-estimate-from-ingredients_100g': 0, 'fruits-vegetables-legumes-estimate-from-ingredients_serving': 0, 'fruits-vegetables-nuts-estimate-from-ingredients_100g': 0, 'fruits-vegetables-nuts-estimate-from-ingredients_serving': 0, 'nova-group': 4, 'nova-group_100g': 4, 'nova-group_serving': 4, 'nutrition-score-fr': 4, 'nutrition-score-fr_100g': 4, 'proteins': 0, 'proteins_100g': 0, 'proteins_unit': 'g', 'proteins_value': 0, 'salt': 0, 'salt_100g': 0, 'salt_unit': 'g', 'salt_value': 0, 'saturated-fat': 0, 'saturated-fat_100g': 0, 'saturated-fat_unit': 'g', 'saturated-fat_value': 0, 'sodium': 0, 'sodium_100g': 0, 'sodium_unit': 'g', 'sodium_value': 0, 'sugars': 4.9, 'sugars_100g': 4.9, 'sugars_unit': 'g', 'sugars_value': 4.9}",c,en:morocco
"CRISTALINE Eau De Source Pétillante 1,5L",Cristaline,"Boissons, Boissons gazeuses, Eaux, Eaux de sources, Eaux minérales, Boissons sans alcool, Boissons sans sucre ajouté, Eaux gazeuses, Eaux minérales gazeuses, Eaux-de-source-avec-adjonction-de-gaz-carbonique",,a,1.0,not-applicable,1500 ml,,"{'bicarbonate': 0.635, 'bicarbonate_100g': 0.635, 'bicarbonate_label': 'Bicarbonate', 'bicarbonate_unit': 'g', 'bicarbonate_value': 0.635, 'calcium': 0.088, 'calcium_100g': 0.088, 'calcium_label': 'Calcium', 'calcium_prepared': 0.073, 'calcium_prepared_100g': 0.073, 'calcium_prepared_unit': 'mg', 'calcium_prepared_value': 73, 'calcium_unit': 'g', 'calcium_value': 0.088, 'chloride': 0.014, 'chloride_100g': 0.014, 'chloride_label': 'Chloride', 'chloride_unit': 'g', 'chloride_value': 0.014, 'extrait-sec-a-180-c_prepared': 0.458, 'extrait-sec-a-180-c_prepared_100g': 0.458, 'extrait-sec-a-180-c_prepared_unit': 'mg', 'extrait-sec-a-180-c_prepared_value': 458, 'fr-extrait-sec-a-180-c': 0.458, 'fr-extrait-sec-a-180-c_100g': 0.458, 'fr-extrait-sec-a-180-c_label': 'Extrait-sec-a-180-c', 'fr-extrait-sec-a-180-c_prepared': 0.458, 'fr-extrait-sec-a-180-c_prepared_100g': 0.458, 'fr-extrait-sec-a-180-c_prepared_unit': 'mg', 'fr-extrait-sec-a-180-c_prepared_value': 458, 'fr-extrait-sec-a-180-c_unit': 'mg', 'fr-extrait-sec-a-180-c_value': 458, 'fr-nitrates_prepared': 0.0012, 'fr-nitrates_prepared_100g': 0.0012, 'fr-nitrates_prepared_unit': 'mg', 'fr-nitrates_prepared_value': 1.2, 'fr-sulfates': 0.015, 'fr-sulfates_100g': 0.015, 'fr-sulfates_label': 'Sulfates', 'fr-sulfates_prepared': 0.015, 'fr-sulfates_prepared_100g': 0.015, 'fr-sulfates_prepared_unit': 'mg', 'fr-sulfates_prepared_value': 15, 'fr-sulfates_unit': 'mg', 'fr-sulfates_value': 15, 'fruits-vegetables-legumes-estimate-from-ingredients_100g': 0, 'fruits-vegetables-legumes-estimate-from-ingredients_serving': 0, 'fruits-vegetables-nuts-estimate-from-ingredients_100g': 0, 'fruits-vegetables-nuts-estimate-from-ingredients_serving': 0, 'magnesium': 0.042, 'magnesium_100g': 0.042, 'magnesium_label': 'Magnesium', 'magnesium_prepared': 0.0072, 'magnesium_prepared_100g': 0.0072, 'magnesium_prepared_unit': 'mg', 'magnesium_prepared_value': 7.2, 'magnesium_unit': 'g', 'magnesium_value': 0.042, 'nitrate': 0.0012, 'nitrate_100g': 0.0012, 'nitrate_label': 'Nitrates', 'nitrate_prepared': 0.0012, 'nitrate_prepared_100g': 0.0012, 'nitrate_prepared_unit': 'mg', 'nitrate_prepared_value': 1.2, 'nitrate_unit': 'mg', 'nitrate_value': 1.2, 'nitrates_prepared': 0.0012, 'nitrates_prepared_100g': 0.0012, 'nitrates_prepared_unit': 'mg', 'nitrates_prepared_value': 1.2, 'nova-group': 1, 'nova-group_100g': 1, 'nova-group_serving': 1, 'nutrition-score-fr': 0, 'nutrition-score-fr_100g': 0, 'ph': 6, 'ph_100g': 6, 'ph_label': 'Ph', 'ph_prepared': 6, 'ph_prepared_100g': 6, 'ph_prepared_serving': 6, 'ph_prepared_unit': 'g', 'ph_prepared_value': 6, 'ph_serving': 6, 'ph_unit': 'g', 'ph_value': 6, 'potassium': 0.013, 'potassium_100g': 0.013, 'potassium_label': 'Potassium', 'potassium_prepared': 0.0022, 'potassium_prepared_100g': 0.0022, 'potassium_prepared_unit': 'mg', 'potassium_prepared_value': 2.2, 'potassium_unit': 'g', 'potassium_value': 0.013, 'salt': 0.07, 'salt_100g': 0.07, 'salt_prepared': 0.1775, 'salt_prepared_100g': 0.1775, 'salt_prepared_unit': 'mg', 'salt_prepared_value': 177.5, 'salt_unit': 'g', 'salt_value': 0.07, 'silica': 0.023, 'silica_100g': 0.023, 'silica_label': 'Silica', 'silica_prepared': 0.023, 'silica_prepared_100g': 0.023, 'silica_prepared_unit': 'mg', 'silica_prepared_value': 23, 'silica_unit': 'mg', 'silica_value': 23, 'sodium': 0.028, 'sodium_100g': 0.028, 'sodium_prepared': 0.071, 'sodium_prepared_100g': 0.071, 'sodium_prepared_unit': 'mg', 'sodium_prepared_value': 71, 'sodium_unit': 'g', 'sodium_value': 0.028, 'sulfates_prepared': 0.015, 'sulfates_prepared_100g': 0.015, 'sulfates_prepared_unit': 'mg', 'sulfates_prepared_value': 15}",a,"en:belgium, en:france"
Sea salt & cider vinegar chips,Tyrrell’s,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Snacks, Céréales et pommes de terre, Snacks salés, Amuse-gueules, Chips et frites, Chips, Chips de pommes de terre, Chips au sel et vinaigre, Chips de pommes de terre à l'huile de tournesol","Potatoes, sunflower oil, sea salt, sugar, dried apple cider vinegar, dried spirit vinegar, natural flavouring, dried BARLEY malt vinegar, potato starch, potato maltodextrin, apple juice powder, antioxidant (extracts of rosemary).",d,4.0,a,150 g,30g,"{'carbohydrates': 51, 'carbohydrates_100g': 51, 'carbohydrates_serving': 15.3, 'carbohydrates_unit': 'g', 'carbohydrates_value': 51, 'energy': 1954, 'energy-kcal': 467, 'energy-kcal_100g': 467, 'energy-kcal_serving': 140, 'energy-kcal_unit': 'kcal', 'energy-kcal_value': 467, 'energy-kcal_value_computed': 462.4, 'energy_100g': 1954, 'energy_serving': 586, 'energy_unit': 'kcal', 'energy_value': 467, 'fat': 25, 'fat_100g': 25, 'fat_serving': 7.5, 'fat_unit': 'g', 'fat_value': 25, 'fiber': 5.1, 'fiber_100g': 5.1, 'fiber_serving': 1.53, 'fiber_unit': 'g', 'fiber_value': 5.1, 'fruits-vegetables-legumes-estimate-from-ingredients_100g': 0, 'fruits-vegetables-legumes-estimate-from-ingredients_serving': 0, 'fruits-vegetables-nuts-estimate-from-ingredients_100g': 10.9375, 'fruits-vegetables-nuts-estimate-from-ingredients_serving': 10.9375, 'nova-group': 4, 'nova-group_100g': 4, 'nova-group_serving': 4, 'nutrition-score-fr': 13, 'nutrition-score-fr_100g': 13, 'proteins': 5.8, 'proteins_100g': 5.8, 'proteins_serving': 1.74, 'proteins_unit': 'g', 'proteins_value': 5.8, 'salt': 1.77, 'salt_100g': 1.77, 'salt_serving': 0.531, 'salt_unit': 'g', 'salt_value': 1.77, 'saturated-fat': 2.2, 'saturated-fat_100g': 2.2, 'saturated-fat_serving': 0.66, 'saturated-fat_unit': 'g', 'saturated-fat_value': 2.2, 'sodium': 0.708, 'sodium_100g': 0.708, 'sodium_serving': 0.212, 'sodium_unit': 'g', 'sodium_value': 0.708, 'sugars': 2.5, 'sugars_100g': 2.5, 'sugars_serving': 0.75, 'sugars_unit': 'g', 'sugars_value': 2.5}",d,"en:france, en:germany, en:netherlands, en:switzerland, en:united-kingdom"
